Disease ,Ingredient,Remedy
Indigestion,Adrak/Sonth,5 gm. crushed rhizome with salt or ja g g ery tw ice daily before meal.
Ear Pain,,2-4 drops of fresh warm juice to be instilled in the ear (don't use when there is discharge)
Hoarseness of voice,,1-3 gm. powder of dry rhizome w ith honey in three divided doses.
Aches & pains,,10-20 ml. decoction prepared from 2 gm.of dry rhizome twice a day.
Cold,,2-5 gm. powder of dry rhizome w ith ja g g e ry th rice a day in divided doses. 10ml. decoction prepared from a piece of ginger every morning prevents recurrent attack of cold.
Headache,,Warm paste should be applied over forehead upto 3A times a day
Abdominal pain,,5 ml. juice in a glass of butter milk with lemon & salt.
Piles,Ajvain,1 gm. powder and 1 gm. blacksalt with butter-milk twice daily.
Painful Menses,,1-2 gm. pow der of seeds with warm milk thrice a day for 2-3 days .
Urticaria (Skin allergy),,1-2 gm. powder of seeds with water twice daily.
Abdominal pain,,1 gm. powder with luke warm water twice or thrice.
Flatulence (gas),,2 gm. ajvain powder with equal quantity of Saunf powder with warm water
Sinusitis,,warm paste should be applied over freehead & little below the eyes in the morning.
Nasal block,,1-2 gm powder should be put in steaming water & vapour should be inhaled; 2-3 time a day.
Loss of appetite,,1 gm. powder with warm water 1/2 hour before meals.
Indigestion,Anar,"10 ml. juice of fruit, 1 gm. blacksalt or fried Jira powder with honey or sugar to hold inside m ou th for so m etim e b efo re food."
Bleeding piles,,10 ml. juice of fruit with sugar twice a day. or 10 gm. powder of dry fruit rind with equal quantity of sugar twice a day.
Diahhoria/ Dysentery,,10 ml. decoction of fruit skin thrice a day. Fruit may be eaten in plenty.
Hyper-acidity,,10 ml. juice of fruit twice a day. Even the fruit may be eaten.
Bad breath,,Gargling with the warm decoction prepared from fruit skin 3-4 time a day.
Acne,,Paste of seeds should be applied to affected part twice daily.
For general health,Amla,Regular use of Am la provides nutrition and boosts good health.
constipation,,3-5 gm. powered fruit rind twice a day with milk. or 10-20 ml. fruit juice twice a day. or 3-5 gm. powered fruit rind twice a day with milk (Even raw Amla can be eaten).
Stress,,Externa ipplication of 25-50 gm. of fru'.i rind ground in butter milk on the forehead.
Diabetes,,10-20 ml. Fruit juice with 10-20 ml. juice of fresh rhizom e of Haldi twice a day.
Dandruff,,Fruit rind soaked over night in water for application on scalp two hours before bath. or paste prepared from fruit rind should be ap p lied tw o hours before bath.
Bleeding Gums,,Fine powder should be gerthy massaged to gums after brushing at lease twice a day regularly.
Indigestion,Dalchini,2 gm. powder of bark with water twice a day.
Loss of Appetite,,2 gm. powder of equal parts of Dalchini and Ajvain for chewing in three divided doses before food.
Vomiting,,1-2 gm. powder with honey thrice a day in divided doses.
Tension headache,,To be rubbed w ith w ater on a rough surface & applied to fore head
Mental tension,,The aroma has soothing action on mind. Crushed pieces may be kept in hanky or near the pillow.
